ɖʐ o ⁴	ɖʐ o ⁴
ɖʐ o ŋ ¹	ɖʐ u ŋ ¹
tsʰ i ⁴	tɕʰ i ⁴
p ɛ ⁴	b ɛ ⁴
j ɯ ¹	j ɯ ¹
q ɯ ¹	q ɯ ¹
ts r o ²	ts r ɔ ²
b e ¹	b e ¹
dz o ⁴	dz o ⁴
ɣ w a ¹	ɕ w i ²
ɣ ɯ̃ ²	ɣ ɯ ²
d ɔ ⁴	d r o ⁴
p ɯ ²	p ɯ ²
p i ¹	p e ¹
q w a ⁴	ɣ w a ⁴
ts u ŋ ¹	ts u ŋ ¹
m æ ²	m æ ²
s r o ¹	s r o ¹
s w a ⁴	s w a ⁴
m e ¹	m e ¹
pʰ æ ⁴	pʰ æ ⁴
tʰ r æ n ¹	tʰ æ n ¹
tsʰ o ³	tsʰ u ³
n j e n ¹	n j e n ¹
tsʰ j e n ¹	tsʲʰ e n ¹
ɣ ɛ ⁴	tsʰ w a ⁴
tɕ i ¹	tɕ i ¹
sʰ o ⁴	sʰ o ⁴
qʰ æ ⁴	qʰ æ ⁴
p æ ⁴	p æ ⁴
pʰ r æ ⁴	pʰ r a ⁴
o ⁴	ɔ ⁴
m i ²	m i ²
s r o n ¹	s r o ⁴
p r æ ⁴	p r a ⁴
ts j a ³	tɕ a ³
tʰ ɯ ⁴	tʰ ɯ̃ ⁴
tsʰ ɯ ³	tsʰ ɯ ³
ɣ u ²	ɣ u ŋ ²
s j e n ¹	s j e n ¹
sʰ r æ ⁴	sʰ r æ ⁴
ɕ r æ ⁴	ɕ a ⁴
ts u ⁵	ts o ⁵
t w i ⁵	d w ɛ ⁵
x w i ²	x w i ²
tɕ ɯ ¹	tɕ u ¹
