ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGIDS
85	ProtoKaren	Dipterocarpus tuberculatus Roxb	*thəNᴬ	*thəNᴬ	tʰ ə ɴ ⁵⁵		1
420	Kayah	Dipterocarpus tuberculatus Roxb	thɔ³³	thɔ³³	tʰ ɔ ³³		1
711	Kayan	Dipterocarpus tuberculatus Roxb	thə⁵³	thə⁵³	tʰ ə ⁵³		1
1012	Kayaw	Dipterocarpus tuberculatus Roxb	thə⁵⁵	thə⁵⁵	tʰ ə ⁵⁵		1
1315	NorthernPao	Dipterocarpus tuberculatus Roxb	təŋ³¹ ̈	təŋ³¹̈	tʰ ə̤ ŋ ³¹		1
1602	NorthernPwo	Dipterocarpus tuberculatus Roxb	thɑ̃⁵⁵	thɑ̃⁵⁵	tʰ ɑ̃ ⁵⁵		1
1888	NorthernSgaw	Dipterocarpus tuberculatus Roxb	thə³³	thə³³	tʰ ə ³³		1
2761	SouthernSgaw	Dipterocarpus tuberculatus Roxb	thɔ⁵⁵	thɔ⁵⁵	tʰ ɔ ⁵⁵		1
1	ProtoKaren	all, all gone, whole	*loɁᴰ	*loɁᴰ	l o ʔ̚ ⁵¹		10
345	Kayah	all, all gone, whole	lɔ³³	lɔ³³	l ɔ ³³		10
643	Kayan	all, all gone, whole	lɔɁ³³	lɔɁ³³	l ɔ ʔ ³³		10
935	Kayaw	all, all gone, whole	lə³³	lə³³	l ə ³³		10
1249	NorthernPao	all, all gone, whole	loɁ⁴⁵	loɁ⁴⁵	l o ʔ ⁴⁵		10
1528	NorthernPwo	all, all gone, whole	lauɁ²¹	lauɁ²¹	l au ʔ ²¹		10
1809	NorthernSgaw	all, all gone, whole	(khɛ³³)ləɁ²¹	ləɁ²¹	l u ʔ ²¹		10
2121	SouthernPao	all, all gone, whole	luɁ⁴⁵	luɁ⁴⁵	l u ʔ ⁴⁵		10
2387	SouthernPwo	all, all gone, whole	lɔuɁ⁴⁵	lɔuɁ⁴⁵	l ɔu ʔ ⁴⁵		10
2684	SouthernSgaw	all, all gone, whole	lɔu¹¹	lɔu¹¹	l ɔu ¹¹		10
2	ProtoKaren	ant	*dəŋᴮ	*dəŋᴮ	d ə ŋ ¹¹		21
346	Kayah	ant	tɔ¹¹	tɔ¹¹	t ɔ ¹¹		21
644	Kayan	ant	tə¹¹	tə¹¹	t ə ¹¹		21
936	Kayaw	ant	tə¹¹	tə¹¹	t ə ¹¹		21
1250	NorthernPao	ant	təŋ⁵³	təŋ⁵³	tʰ ə ŋ ⁵³		21
1529	NorthernPwo	ant	thã¹¹ ̈	thã¹¹̈	tʰ ã ɦ ¹¹		21
1810	NorthernSgaw	ant	tə¹¹ ̈	tə¹¹̈	t ə ɦ ¹¹		21
2122	SouthernPao	ant	təŋ⁵⁵	təŋ⁵⁵	t ə ŋ ⁵⁵		21
2388	SouthernPwo	ant	thə̃ɨ̯ ³³	thə̃ɨ̯³³	tʰ ə̃ɨ̯ ³³		21
2685	SouthernSgaw	ant	tə³¹	tə³¹	t ə ³¹		21
2984	WesternBwe	ant	do³³	do³³	d o ³³		21
