pʰ a ¹¹	pʰ a ¹¹
g ə ⁰	g ə ⁰
kʰ ei ¹¹	kʰ ei ¹¹
ˀb a ŋ ⁵⁵	ˀb a ŋ ⁵⁵
ˀd ɛ ¹¹	ˀd ɛ ¹¹
b l ei ⁵⁵	b l ei ⁵⁵
l u ⁵⁵	l u ⁵⁵
k w a n ¹¹	g l a m ¹¹
t ə ⁰	t ə ʔ̚ ⁰
ˀb a ŋ ¹¹	ˀb a ŋ ¹¹
s a ʔ̚ ⁵¹	s a ʔ̚ ⁵¹
tʰ a m ⁵⁵	tʰ a m ⁵⁵
ʔ u ⁵⁵	ʔ u ⁵⁵
l a ¹¹	l̥ a ¹¹
m ɨ ¹¹	m̥ ɨ ¹¹
k l ɨ ʔ̚ ⁵¹	k l ə ʔ̚ ⁵¹
n ei ⁵⁵	n̥ ei ⁵⁵
s a ¹¹	s a ¹¹
b r a ⁵⁵	b r a ⁵⁵
l w i ⁵¹	l̥ w i t̚ ⁵⁵
s w a ¹¹	s w w a ¹¹
ˀd ɛ ⁰	ˀd ɛ ⁵⁵
ˀb w a ⁵⁵	ˀb w w a ⁵⁵
cʰ j a ɴ ¹¹	cʰ j a ɴ ¹¹
tʰ u n ¹¹	tʰ u ɴ ¹¹
k a ʔ ⁰	k ə ʔ̚ ⁰
kʰ l e ³³	kʰ l i ⁵⁵
kʰ l ɛ ŋ ⁵⁵	kʰ l ɛ ɴ ⁵⁵
ŋ j ai ⁵⁵	ŋ j ai ⁵⁵
pʰ ɨ ¹¹	p ɨ ¹¹
s a ¹¹	s a ¹¹
ʔ e ŋ ⁵⁵	ʔ e ŋ ⁵⁵
tʰ ə ŋ ¹¹	tʰ ə ŋ ¹¹
g o ¹¹	g o ¹¹
h a t ⁵¹	h a t̚ ⁵¹
ʔ ɛ ɴ ¹¹	ʔ j ɛ n ¹¹
