ts a ³	ts a ³
pʰ i ²	pʰ e ¹
tʰ u ³	tʰ u ³
ʃ i ³	ʃ i̠ ¹
p ɨ ²	p j ɨ ²
t a ¹	t j ɛ ³³
h a ²	h a ŋ ²
ɣ a ¹	b j y ¹
p y ²	p y ²
p y ¹	p y ³
pʰ a ²	pʰ a ²
m ³ ¹	m i ¹
d e̠ ¹	d e̠ ¹
d e̠ ¹	d e̠ ¹
k a ¹	k a̠ ³
ɲ e ¹	n e ¹
g u ²	g j u ²
t a ²	t a ²
ɲ a̠ ³	n a ŋ ³
t a ³	t a ³
p e ¹	p e ¹
a ¹	a ¹
p ɛ̠ ¹	p u ¹
dʒ o̠ ³	dʒ o̠ ³
tʰ u ¹	tʰ e̠ ¹
n i ²	n i ²
a ¹	a ¹
s ɛ ²	s ɛ ²
d y ¹	d y ¹
l o̠ ¹	l u̠ ¹
ˀv a ¹	ˀv a ¹
ʃ a ¹	ʃ a ¹
k i ¹	k ɨ ¹
kʰ ɨ ²	kʰ ɨ̠ ¹
ɣ i̠ ³	ʃ i ³
ts i ³	ts i ³
a ¹	a ¹
h a ¹	h a ¹
p ɛ̠ ¹	p ɛ̠ ¹
m i̠ ¹	m i̠ ¹
dʒ ɛ ¹	k a ²
m a ³	m a ³
g a̠ ¹	g a ¹
tsʰ o̠ ³	tsʰ o̠ ¹
tʃʰ u̠ ¹	tʃʰ o̠ ¹
k a ³	k a̠ ³
tsʰ i̠ ¹	tsʰ i̠ ¹
kʰ u ¹	kʰ u ¹
k a ¹	dz a ¹
l o̠ ³	l o̠ ³
n ɛ ²	n ɛ ²
s o ¹	s i ³
ts a ³	ts a ³
m a ³	m o ²
pʰ ɨ ²	pʰ ɨ ²
k u ³	k a ²
p y ¹	p y̠ ¹
x a ¹	h ɛ̠ ¹
b ɛ ²	b ɛ ²
kʰ ɛ ²	kʰ j ɛ ²
m o̠ ¹	m o̠ ¹
tsʰ e ¹	tsʰ e ¹
n ²	n u ²
b y ¹	b y ¹
h e ¹	h e ¹
l u ³	l u ³
a ¹	a ¹
s a ¹	s e ¹
m j a ²	m j a ²
ˀl o̠ ¹	ˀl o̠ ¹
tʰ a ³	tʰ a ³
v e ³	ˀv ɛ ²
g o̠ ³	g o̠ ³
m ɛ ¹	ˀm ɛ ¹
tsʰ i ¹	k i ¹
ˀn e̠ ¹	ˀn e̠ ¹
kʰ ɨ ³	kʰ ɨ̠ ³
m a ²	m a ²
t e ²	t e ²
ɣ a ³	ʃ ɨ̠ ¹
t o ŋ ¹	tʃʰ ɛ ²
a ¹	a ¹
v e̠ ³	v e̠ ³
ɣ i ¹	x i ¹
s ɛ ²	s ɛ ²
tʃ j u ¹	tʃ a ŋ ¹
ʃ a ¹	ʃ a ¹
n y ¹	n y ¹
ˀl y ²	ˀl y ²
m a ŋ ²	m a ŋ ²
ʃ ɛ ¹	ʃ ɛ ¹
m a ¹	m a ¹
ɣ i ¹	ɣ i ¹
dʒ a ³	k o̠ ³
pʰ o ²	pʰ o ²
n i ²	n̩ ²
tsʰ a ²	tsʰ a ²
pʰ ɛ ²	pʰ ɛ ²
l y ¹	l y ¹
ʒ o̠ ³	ʒ o̠ ³
z e̠ ³	z e̠ ³
ˀm y ²	ˀm y ²
pʰ o ²	pʰ y ²
p ɛ ²	b a ŋ ²
b o ²	b e ²
l i ²	ˀl i̠ ³
s ɛ ²	s ɛ ²
a ¹	a ¹
dʒ e ²	dz e ²
pʰ u ¹	pʰ e̠ ¹
a ²	a ²
v e̠ ³	v e̠ ³
t e̠ ¹	t e̠ ¹
dz i ²	dʒ i ²
k a ³	k a̠ ³
p ɛ ³	p ɛ ¹
d i̠ ¹	d i ¹
dz u ¹	dz ɿ ³
a ¹	a ¹
dz i ²	dz i ²
x a̠ ³	x a̠ ³
d u ²	d u ¹
g u ³	g u ³
ɲ ɛ ¹	ɲ e ¹
d a ŋ ³	d u ³
