sʰ r æ ²	s r e ŋ ²
m ɛ ¹	m ɛ ¹
tsʰ j e n ¹	tsʲʰ e n ¹
p j æ ⁴	p r æ ⁴
n j ɛ n ⁴	n j e ⁴
b i ³	b r i ³
q ɯ ¹	q ɯ ¹
tʰ u ¹	tʰ r u ¹
d ɯ ²	dʑ ɯ ²
sʰ o ⁴	s ɔ ⁴
tɕ r a ⁴	dʑ a ⁴
sʰ i ¹	sʰ r e ŋ ¹
tɕ j æ ⁴	tɕ æ ¹
ɣ w a ⁴	ɣ w a ⁴
ts i ²	ts r i ²
k w a ⁴	k w a ⁴
q a ŋ ¹	q a ŋ ¹
g o ¹	g o ¹
x w i ²	x w i ²
t u ²	t u ²
tsʰ ɯ ³	tsʰ ɯ ³
p j a ⁴	p r a ⁴
h i ³	z ɯ ³
b ɯ ¹	b r i ¹
tɕ i ⁴	d i ⁴
ŋ w e n ¹	ŋ w e n ¹
pʰ ɯ ¹	pʰ ɯ ¹
s r u ¹	s r u ¹
kʰ o ŋ ¹	kʰ o ŋ ¹
j i ³	j i ³
q æ ⁴	q æ ⁴
m e ¹	m e ¹
d o ŋ ¹	d o ŋ ¹
tsʰ i ⁴	tɕʰ i ⁴
d r ɯ ⁴	d j ɯ ¹
t ɯ ⁴	t ɯ ⁴
tʰ j e ²	tʰ j e ²
ɕ j e n ¹	sʰ j e n ¹
d o ³	ɖʐ o ³
χ w a ⁴	h w a ⁴
d o ⁴	ʈ o ⁴
ts j j i ²	dʑ i ²
tɕ j e n ¹	tɕ e n ¹
p æ ⁴	p æ ⁴
s i ²	s r i ²
m ɯ ŋ ⁴	m ɯ ⁴
