cʰ u m ⁵⁵	cʰ u ɴ ⁵⁵
ɟ a ¹¹	ɟ a ¹¹
n w ɛ ¹¹	n̥ w ɛ ¹¹
r w i ʔ ⁵¹	r̥ w i ʔ̚ ⁵¹
cʰ a ɴ ¹¹	cʰ j a ɴ ¹¹
k i ¹¹	k i ¹¹
pʰ ɔ ⁵⁵	pʰ ɔ ⁵⁵
d ɛ ʔ̚ ⁵¹	d ɛ ʔ̚ ⁵¹
tʰ w ɛ ⁵⁵	tʰ w ɛ ⁵⁵
ɲ̊ a ɴ ⁵⁵	ɲ̊ au ⁵⁵
ˀb a ŋ ⁵⁵	ˀb a ŋ ⁵⁵
tʰ ə ŋ ¹¹	tʰ ə ŋ ¹¹
b ə ŋ ⁵⁵	b ə ŋ ⁵⁵
d ə ŋ ¹¹	d ə ŋ ¹¹
s a ¹¹	s a ¹¹
ˀd w ə ɴ ⁵⁵	ˀd w ɨ ɴ ⁵⁵
p l e ŋ ⁵⁵	p l e ŋ ⁵⁵
kʰ o ¹¹	kʰ o ¹¹
l ai ¹¹	l̥ ai ¹¹
ɴ r a ⁵⁵	t r e ⁵⁵
kʰ r r a ¹¹	g r a ¹¹
ˀb ɔ ŋ ⁵⁵	ˀb ɔ ⁵⁵
b ə ¹¹	p ə ¹¹
ʔ e ŋ ⁵⁵	ʔ e ŋ ⁵⁵
ˀd a ⁵⁵	ˀd a ⁵⁵
ʔ a ɴ ⁵⁵	ʔ a ɴ ⁵⁵
m ə ¹¹	m̥ ɨ ¹¹
k ə ʔ ⁵¹	k ə ʔ̚ ⁵¹
l a ʔ̚ ⁵¹	l a ʔ̚ ⁵¹
k ə ⁵⁵	k ə ⁰
d ɔ ŋ ¹¹	d ɔ ŋ ¹¹
l ei ⁵⁵	l ei ⁵⁵
kʰ l ei ⁵⁵	kʰ l ei ⁵⁵
ˀd e ʔ̚ ⁵¹	ˀd e ʔ̚ ⁵¹
n a ¹¹	n̥ a ¹¹
ʔ ɔ ŋ ⁵⁵	ʔ ɔ ⁵⁵
