q æ n ²	q æ n ¹
tʰ j i ¹	tsʰ r i ¹
sʰ w ɛ ⁴	sʰ w ɛ ⁴
b æ ¹	b æ ¹
q w a ⁴	q w a ⁴
m æ ¹	m æ ¹
b u ²	b ɯ ²
ɕ j æ n ¹	s j æ n ¹
m b i ¹	m j i ¹
n o ¹	n o ŋ ³
w e n ¹	ʔ w e n ¹
s r i ¹	sʰ r e ŋ ¹
s ɔ ²	s ɔ ²
sʰ w a ⁴	sʰ w a ⁴
tsʰ i ⁴	tsʰ j i ⁴
ɖʐ ŋ ɯ ¹	ts r e ŋ ¹
p ɯ ²	p u ²
? ɔ ³	h ɔ ³
ŋ j e n ¹	n j e n ¹
ŋ ? ¹	ŋ ɔ ¹
p j æ ⁴	p r æ ⁴
sʰ w a ¹	ɕ w i ²
k o ⁵	k o ⁵
n u ¹	n j o ŋ ¹
? w æ ⁴	x w a ¹
n o ²	n o ²
tʰ ŋ u ²	tʰ r u ²
j a ⁴	j a ⁴
ɕ j i ⁴	ɕ i ⁴
tʰ æ n ¹	tʰ æ n ¹
s r r æ ²	s r e ŋ ²
w e n ¹	ʔ w e n ¹
d o ³	ɖʐ o ³
tɕ i ³	d i ³
χ w a ⁴	h w a ⁴
s w a n ¹	s w a ŋ ¹
pʰ æ ¹	pʰ æ ¹
ŋ j e n ¹	n j e n ¹
ʈ r æ ⁴	ʈ æ ⁴
p e ¹	p e ¹
d i ¹	dz i ¹
ɣ ɯ ³	ɣ ɯ ³
tɕʰ i ¹	tɕʰ i ¹
g ɯ ¹	g ɯ ¹
tɕ r ɯ ²	tɕ ɯ ²
g ɔ ¹	g ɔ ¹
