ˀx e ¹	h e ¹
h i̠ ²	h e̠ ³
z o̠ ²	ʒ o̠ ³
m o̠ ³	m j o̠ ³
v e̠ ³	v e̠ ³
m o ¹	m u ¹
e ²	e ²
n u̠ ¹	n u̠ ¹
l u ²	l u ²
tsʰ a ¹	tsʰ a ¹
s ²	n̩ ²
b a ŋ ³	b a ŋ ³
p o̠ ¹	p o̠ ¹
kʰ a̠ ¹	kʰ a̠ ¹
g o ¹	g u ¹
kʰ u ³	kʰ ɨ̠ ³
h e̠ ³	h e̠ ³
p a̠ ³	p a̠ ³
b a ³	b a ³
p a ¹	tsʰ i ²
ʃ a̠ ³	ʃ a̠ ³
pʰ a ŋ ¹	pʰ j a ¹
l y ²	l y ²
dz i ²	dz i ²
pʰ y̠ ³	pʰ y̠ ³
dʒ i ²	dz i ²
ˀn e̠ ¹	ˀn e̠ ¹
a ¹	a ¹
m a ²	m a ²
h ɛ̠ ¹	h ɛ̠ ¹
m ɛ ²	m ɛ ²
pʰ ɛ ¹	pʰ ɛ ³
pʰ a ŋ ¹	pʰ j a ¹
b u ¹	b e ³
d u ¹	d a ŋ ¹
dz i̠ ²	dz ɿ ³
kʰ ɨ ¹	kʰ i ¹
ts a ³	ts a ³
pʰ e̠ ¹	pʰ e̠ ¹
ˀn e ³	ˀn i ³
p a ¹	p a ¹
b ɛ ³	b ɛ ¹
a ²	a ²
t a ¹	t j ɛ ³³
ts i ³	ts i̠ ³
m ɛ ²	m ɛ ²
l y ¹	l y ¹
a ¹	a ¹
x e ¹	x e ¹
pʰ i ²	pʰ e ²
dz e ¹	dz e ¹
n i ²	n i ²
tʰ y ³	tʰ y ³
ˀm a ²	ˀm a ²
g i ¹	g i ¹
d i ³	d i ³
g a ²	g j a ²
a ¹	a ¹
k a ³	k a ¹
a ¹	a ¹
n̩ ²	n i ²
l o̠ ³	ˀl o̠ ³
p a̠ ³	p a̠ ³
tsʰ i̠ ¹	tsʰ i̠ ¹
s o ¹	s u ¹
a ¹	a ¹
d a ŋ ¹	d a ŋ ¹
k u ¹	k u ¹
ˀŋ j a ¹	ŋ j a̠ ¹
dʒ ɛ ¹	dʒ ɛ ¹
s i̠ ¹	s i̠ ¹
dz e ¹	dz e ¹
ˀn o ²	ˀɲ y ²
m a ³	m a ³
dz i ³	dz i ³
g j ɛ ²	g j ɛ ²
ʃ i ¹	ˀx y ¹
kʰ a ²	k u ³
l a ¹	l a ¹
n ɛ̠ ¹	n ɛ ³
g o̠ ²	g y ²
tʃʰ i ¹	tʃʰ e ¹
ˀl o̠ ³	ˀl o̠ ¹
ˀl u ³	l u ³
s ɛ ²	s e ²
n ²	n u ²
t u ²	tʃ u ²
l a ²	l a ²
l e̠ ³	l e̠ ³
kʰ a ³	k a̠ ³
ɣ i ¹	ɣ i ¹
ˀn i ¹	ˀn i ¹
p u ¹	p u ¹
ɣ ɛ ²	ɣ ɛ ²
kʰ u ¹	kʰ u ¹
g i ¹	g i ¹
g u ²	g u ²
k o ¹	k j o ¹
s ɛ ²	s ɛ ²
m u ²	m j u ²
p a̠ ³	p a̠ ³
s e̠ ¹	ʒ a ¹
tʰ a ŋ ²	dz a ŋ ²
dz i ¹	dz i ¹
m a ³	m a ³
s a ²	s a ²
b o ²	b a ²
k a ²	k a ²
l a ²	l a ²
d u ³	d u ¹
t u ¹	t ɛ ¹
s y ²	s y ²
dʒ a ¹	dʒ a ¹
m u ³	m u ³
tsʰ i ²	tʃʰ e ¹
a ¹	a ¹
ˀn e ³	n e ²
a ²	a ²
tʃʰ e̠ ¹	tʃʰ e̠ ¹
b ɛ ²	b ɛ ²
l e̠ ³	l e̠ ³
ts e ¹	ts e ¹
a ¹	a ¹
ʒ o̠ ¹	ʒ o̠ ¹
