ˀn i ¹	ˀɲ y ²
m a ³	m a ³
dʒ a ²	dʒ ɛ ²
b ɛ̠ ¹	b ɛ̠ ¹
tʃʰ e ²	tʃʰ e ²
d a ŋ ¹	d a ŋ ¹
m j o̠ ³	m j o̠ ³
x i ²	x ɨ ²
kʰ u ¹	kʰ u ¹
m o̠ ³	m o̠ ¹
t e̠ ²	t i ²
s ɛ ²	s ɛ ²
ˀm e̠ ¹	ˀm j e̠ ¹
z i ²	z i ²
p a̠ ²	p a̠ ³
h a ¹	h a ¹
l i ²	ˀl i ²
d ɛ ²	d ɛ ²
v ɛ̠ ³	v ɛ̠ ³
ˀn a ŋ ¹	n a ŋ ³
t e̠ ¹	t ɛ ¹
k e ²	s e ¹
l a ²	l a ²
tʃʰ a ³	ŋ a ¹
dz e ¹	dz e ¹
pʰ u ¹	pʰ u ³
kʰ a ²	kʰ a ²
pʰ ɛ ²	pʰ ɛ ³
b o ²	b o ²
kʰ ɛ ³	kʰ ɛ̠ ³
kʰ o̠ ¹	kʰ j y ¹
k j e̠ ³	tʃ e̠ ³
ˀl u ³	ˀl u ³
dz i ²	dʒ i ²
ts e ²	ts e ²
ʃ i̠ ³	ʃ i̠ ¹
p e̠ ²	p e ³
z e̠ ³	z e̠ ³
m i̠ ¹	m i̠ ¹
a ¹	a ¹
z a ²	z a ²
a ²	a ²
dz i ³	dz i ²
t ɛ̠ ³	t a ³
pʰ a ŋ ¹	pʰ u ²
pʰ i ²	pʰ o ²
s ɛ ²	s ɛ ²
a ¹	a ¹
b ɨ̠ ¹	b ɨ̠ ¹
h e̠ ¹	x e̠ ³
s e ²	s e ²
tʃʰ i ¹	tʃʰ e ¹
l a ²	l a ²
g a ¹	g j a ¹
tʃʰ ɨ ¹	tʃʰ ɨ ¹
ɣ i ¹	ɣ i ¹
g y ¹	g y ¹
d o̠ ¹	d o̠ ¹
k u ¹	k u ¹
ˀn i ²	ŋ i ²
ˀl y ¹	ˀl y ¹
s u ¹	ʒ a ¹
s ɛ ²	s ɛ ²
s a̠ ²	ʃ a̠ ³
g a ²	g ɨ ¹
d u ²	d u ²
pʰ e ²	pʰ e ²
ʒ i̠ ²	ʒ i̠ ³
m y ²	m o ²
n e̠ ³	n e̠ ³
pʰ a ŋ ¹	pʰ j a ¹
b e̠ ²	b y ²
s i ¹	s e ¹
a ¹	a ¹
ʃ i̠ ³	ʃ i̠ ¹
g j a ¹	g j a ¹
m a ³	m a ³³
tsʰ e ¹	tsʰ e ¹
tʰ a ³	tʰ a ³
ˀm a ²	ˀm a ²
s ɛ ²	s ɛ ²
ʒ o ³³	ʒ o̠ ¹
dz i̠ ²	dz i ³
dz e ¹	dʒ e ¹
g a ŋ ¹	g a ŋ ³
b o̠ ¹	b o̠ ¹
k e̠ ³³	k u ²
ɨ̠ ³	ɨ̠ ¹
l a ¹	l a ¹
h a ³	h ɛ̠ ¹
g i ¹	g i ¹
n a ¹	n a ¹
l a ŋ ³	l u ³
h e ¹	h e ¹
kʰ ɨ ¹	kʰ i ¹
ʃ ɨ ¹	s i ¹
ɣ i ¹	ɣ i ¹
ˀŋ j a̠ ²	ɲ a ²
b y ²	b y̠ ³
k a ¹	k a ¹
ˀm ɛ ¹	ˀm ɛ ¹
ŋ o ¹	ŋ o ¹
kʰ u ²	kʰ o ²
z i ³	z i ³
l i ²	ˀl i ²
t y ²	t y ²
l a ¹	l a ¹
ˀn a ¹	ˀn a ¹
tʰ a ŋ ²	tʰ o ²
tsʰ y ¹	tsʰ y ¹
ts i ¹	ts i ¹
tʃ e̠ ³	ts e̠ ³
ɣ e ¹	ɣ ɛ ¹
s y ¹	s y ¹
kʰ y ¹	kʰ y ¹
tʰ a ²	tʰ a ²
n i ²	n̩ ²
d e̠ ¹	d e̠ ¹
v a ²	v a ²
b j o ²	b j a ²
ʃ o̠ ³	ʃ o̠ ¹
n i ²	n u ²
m o ¹	m u ¹
m j a ³	m j a ³
