b e ŋ ⁵⁵	b e ŋ ⁵⁵
cʰ a ɴ ¹¹	cʰ a ɴ ¹¹
n a ¹¹	n a ¹¹
l ei ¹¹	l̥ ai ¹¹
n u ¹¹	n u ¹¹
ŋ a ⁵⁵	ŋ̊ a ⁵⁵
kʰ i ŋ ⁵⁵	kʰ i ŋ ⁵⁵
j o ʔ̚ ⁵¹	j o ʔ̚ ⁵¹
ʔ a m ¹¹	ʔ a m ¹¹
ŋ j ai ⁵⁵	ŋ j ai ⁵⁵
h a ʔ ⁵¹	h a t̚ ⁵¹
kʰ j a ʔ̚ ⁵¹	k j a ʔ̚ ⁵¹
cʰ ei ¹¹	cʰ ei ¹¹
n w ɛ ¹¹	n̥ w ɛ ¹¹
k ə ʔ̚ ⁰	k ə ʔ̚ ⁰
j ɔ ʔ̚ ⁵¹	j ɔ ʔ ⁵¹
s i ʔ̚ ⁵¹	s i ʔ ⁵¹
l ɛ m ¹¹	l̥ ɛ m ¹¹
kʰ a ¹¹	kʰ a ¹¹
k ə ŋ ¹¹	k ə ⁰
s ei ⁵⁵	s ei ⁵⁵
b ə ŋ ⁵⁵	b ə ŋ ⁵⁵
ˀd ɛ ¹¹	ˀd ɛ ¹¹
pʰ e ⁵⁵	pʰ e ⁵⁵
ˀb o ʔ̚ ⁵¹	ˀb o ʔ̚ ⁵¹
c ə ŋ ⁵⁵	c ə ŋ ⁵⁵
d o ¹¹	d o ¹¹
kʰ ɔ ʔ̚ ⁵¹	kʰ ɔ ʔ̚ ⁵¹
m ə ¹¹	m ə ¹¹
l e ʔ̚ ⁵¹	l e k̚ ⁵¹
b l ei ⁵⁵	b l ei ⁵⁵
k i ⁵⁵	k i ⁵⁵
g ə ¹¹	g ə ⁰
s ɔ ʔ̚ ⁵¹	s ɔ ʔ̚ ⁵¹
b r e ʔ̚ ⁵¹	b r e ʔ̚ ⁵¹
pʰ ɨ ¹¹	p ɨ ¹¹
