g ʊ w ɛ n t ʊ t ɛ m	j ʊ w ɛ n t uː t ɛ m
n ɪ m ʊ	n eː m ɪ n ɛ m
t ɛ rː ɛ ʊ m	t ɛ rː ɛu m
k a r p ɛ n t ʊ m	k a r p ɛ n t ʊ m
k ɛ l ɪ k ʊ m	k aɪ l ɪ k ʊ m
t r ɛ p ɪ d aː t j oː n ɛ m	t r ɛ p ɪ d aː t j oː n ɛ m
a s k a m	a s k j a m
s ʊ mː a m	s ʊ mː a m
ɛ r ɔ ɛ	h eː r oː ɛ m
s t ʊ p r ʊ m	s t ʊ p r ʊ m
t r ɛ m ɛ r ɛ	t r ɛ m ɛ r ɛ
ɔ r ɪ d zː oː n t ɛ m	h ɔ r ɪ zː ɔ n t a
p ɔ m	p j ʊ m
s a l ʊ b r ɪ t aː t ɛ m	s a l uː b r ɪ t aː t ɛ m
ɔ k uː l aː r ɛ	ɔ k ʊ l aː r ɛ m
p ɛ d ɛ s t r ɛ m	p ɛ d ɛ s t r ɛ m
ɪ n d ɔ l ɛ m	ɪ n d ɔ l ɛ m
k oː r ʊ m	kʰ ɔ r ʊ m
s a l t ʊ m	s a l t ʊ m
a r z ɪ n ɛ	a gː ɛ r ɛ m
d ɪ s p ɛ n s aː r ɛ	d ɪ s p eː n s aː r ɛ
r ɛ t aː r d aː r ɛ	r ɛ t a r d aː r ɛ
m a n ɪ f ɛ s t aː r ɛ m	m a n ɪ f ɛ s t aː r ɛ
r ɛ g j ʊ m	r eː g j ʊ m
s ɛ p aː r aː r ɛ	s eː p a r aː r ɛ
g ɛ m ɛ m ʊ m	g ɛ m ɛ lː ʊ m
m ɪ r t ɪ lː ʊ m	m y r t ɪ lː ʊ m
s ɛ p ɛ m	s aɪ p ɛ m
k aː p ɛ r ɛ	k a p ɛ r ɛ
kʷ ɛ s ɪ t ʊ m	kʷ aɪ s iː t ʊ m
a r g ɪ lː a m	a r g ɪ lː a m
t r ɪ b ʊ t ʊ m	t r ɪ b uː t ʊ m
a n ɪ m ʊ m	a n ɪ m ʊ m
k r ɛ s p aː r ɛ	k r ɪ s p aː r ɛ
m ɪ r t ʊ m	m y r t ʊ m
s k ʊ d ɛ lː a m	s k ʊ t ɛ lː a m
t r aː d ʊ k t j oː n ɛ m	t r aː d ʊ k t j oː n ɛ m
ɪ n d ɪ ŋ n ʊ m	ɪ n d iː ŋ n ʊ m
ɪ n ɪ t j aː l ɛ	ɪ n ɪ t j aː l ɛ m
p ɛ r ɪ t ʊ m	p ɛ r iː t ʊ m
k r aː p ʊ l m a m	k r aː p ʊ l a m
k ɔ n s ɪ l ʊ m	k ɔ ŋ k ɪ l j ʊ m
m uː t ʊ m m	m uː t ʊː m
p a l ʊ d aː m ɛ n t ʊ m	p a l uː d aː m ɛ n t ʊ m
f uː r ɛ m n	f uː r ɛ m
a r t ɛ m ɪ s j a m	a r t ɛ m ɪ s j a m
d ɪ fː aː m aː t oː r j ʊ m	d ɪ fː aː m aː t oː r j ʊ m
b ɛ n ɛ f ɪ k j ʊ m	b ɛ n ɛ f ɪ k j ʊ m
d ɛ b ɪ l ɪ t aː r ɛ	d eː b ɪ l ɪ t aː r ɛ
f ɔ r n aː l j a m	f ɔ r n aː k ʊ l a m
p l aː n t ʊ m	p l a ŋ k t ʊ m
l ɪ m aː k aː	l iː m aː k ɛ m
l uː k r ʊ m	l ʊ k r ʊ m
p l aː n ʊ m	p l aː n ʊ m
r a p t ʊ m	r a p t ʊ m
z aː n d aː l ʊ m	z ɪ n z a l a m
a g r ɛ g aː t j oː n ɛ m	a gː r ɛ g a t j oː n ɛ m
s ɛ rː a m	s ɛ rː a m
f ɔ n d a m	f ʊ n d a m
a nː ʊ t ɪ n ʊ m	a nː oː t ɪ n ʊ m
ɛ n d ʊ r ɛ t ɛ r	ɪ n d uː r eː s k ɛ r ɛ
ɔ fː r k ɪ r ɛ	ɔ fː ɛ rː ɛ
k a w aː r ɛ	k a w aː r ɛ
ɪ l ɛ	ɪ l ɛ m
p a t r j a m	p a t r j a m
m ɪ ŋ g ɛ r ɛ	m ɪ ŋ g ɛ r ɛ
f l uː ɪ r ɛ	f l ʊ ɛ r ɛ
f a w oː r ɛ	f a w oː r ɛ m
ɪ m p ɛ r aː t r ɪ k ɛ m	ɪ m p ɛ r aː t r iː k ɛ m
t ʊ n d ɛ r ɛ	t ʊ n d ɛ r ɛ
k a l ɪ g ɪ n oː s ʊ m	k aː l iː g ɪ n oː s ʊ m
l a r w a m	l aː r w a m
s ʊ p ʊ t aː r ɛ	s ʊ pː ʊ t aː r ɛ
s ɛ k uː r ɛ m	s ɛ k uː r ɛ m
ɛ kʷ ɪ p aː r aː r ɛ	aɪ kʷ ɪ p ɛ r aː r ɛ
s ɛ t a m	s aɪ t a m
a m aː n ʊ ɛ n s ɛ m	aː m a n ʊ eː n s ɛ m
b oː aː r j ʊ m	b ɔ aː r j ʊ m
a k ɪ t aː r ɛ	oː s k ɪ t aː r ɛ
p r ɔ w ɛ n ɪ r ɛ	p r oː w ɛ n iː r ɛ
p l ʊ m b ɛ ʊ m	p l ʊ m b ɛu m
a sː uː m ɛ r ɛ	a sː uː m ɛ r ɛ
k ɪ m b aː l ʊ m	k y m b a l ʊ m
ɪ p ɔ t ɛ k a m	h y p ɔ tʰ eː k a m
p ɛ r g ʊ l ɛ m	p ɛ r g ʊ l a m
r ɪ s ʊ m	r iː s ʊ m
l uː m ɪ n aː r ɛ	l uː m ɪ n aː r ɛ
g ɔ r t ʊ m	g ʊ r d ʊ m
f uː r t ʊ m	f uː r t ʊ m
d ɪ g ɪ t aː l ɛ	d ɪ g ɪ t aː l ɛ m
ɔ d j ʊ m	ɔ d j ʊ m
t ɔ p s ɪ k aː r ɛ	t ɔ k s ɪ k aː r ɛ
