g o ¹	g o ¹
tɕ e ¹	tɕ i ¹
p j ɛ ³	pʰ j ɛ ³
m ɛ ¹	m ɛ ¹
tɕ i ¹	tɕ i ¹
b ɯ ²	p u ²
ts r e ¹	ts r e ŋ ¹
d a ⁴	d a ⁴
j u ŋ ²	n j o ²
ts r u ŋ ²	ʈ s u ŋ ²
qʰ w a ⁴	qʰ w a ⁴
ts i ²	ts u ²
ɣ r o ²	qʰ ɔ ²
qʰ a ⁴	qʰ a ⁴
m æ ¹	m æ ¹
tʰ r r æ ⁴	tʰ r æ ⁴
sʰ w a ⁴	sʰ w a ⁴
m ɯ ⁴	m ɯ ⁴
b ɔ ¹	b ã ¹
ɖʐ i ⁴	ɖʐ i ⁴
d i ⁴	d i ⁴
tsʰ e ¹	tsʰ r e ŋ ¹
b j ɛ ²	b j ɛ ²
z ɔ ¹	z ɔ ¹
k ɯ ¹	k ɯ ¹
ɖʐ o ⁴	ɖʐ o ⁴
ɣ ɯ ²	ɣ ɯ ²
pʰ r æ ¹	pʰ r æ ¹
j u ŋ ²	ŋ j o ²
m e ²	m ə ²
n j e n ¹	n j e n ¹
p j a ⁴	b r æ ⁴
q ɯ ¹	q ɯ ¹
n i ²	n j i ⁴
ɣ u ¹	ʂ u ¹
k o ⁵	k o ⁵
tsʰ j e ¹	tsʰ j e n ¹
m æ ⁴	m æ ⁴
s j i ²	s j i ²
g ɔ ¹	g ɔ ¹
qʰ w æ ¹	qʰ w æ ³
l ɔ ¹	l ɔ ¹
ɖʐ o ¹	ɖʐ u ŋ ¹
t ɛ ⁴	t ɛ ⁴
ɣ ɯ ²	ɣ ɯ ²
ɣ ɯ ¹	ɣ ɯ ¹
