tsʰ a ŋ ¹	tsʰ a ŋ ¹
n a ²	n a ²
ˀl o̠ ¹	ˀl o̠ ¹
kʰ ɛ ¹	kʰ a̠ ¹
m a ³	m a ³
kʰ j e̠ ¹	kʰ e̠ ¹
m a ²	m ɛ ²
tsʰ e ¹	tsʰ e ¹
ʃ a ¹	ʃ a ³
l i ¹	ˀl i ³
ˀm ɛ ¹	ˀm ɛ ¹
n a ²	n a ²
tsʰ e ¹	tsʰ e ¹
x a ³	ˀx a ³
ɲ j a ¹	ŋ j a̠ ¹
d ɛ ³	tʰ u ³
pʰ y ²	pʰ j y ²
p o ²	p y̠ ¹
g i ²	g j u ²
g u ¹	g o ŋ ¹
b y ³	b y ³
k j a ¹	k a ŋ ¹
dz a ²	dz a ²
b a ²	b a ²
ʃ ɛ̠ ¹	ʃ ɛ ¹
ŋ a ¹	ŋ a ¹
s i ²	s i ²
ɣ a ²	ɣ a ŋ ²
dz i̠ ³	dz i̠ ¹
f u ³	f u ³
i ²	a ²
ɣ ɨ ¹	ɣ ɨ ¹
p a̠ ³	p a̠ ³
g j y j ²	g y ²
h e ¹	h e ¹
m ɛ ²	m ɛ ²
l o̠ ³	ˀl o̠ ³
a ¹	a ¹
pʰ i ²	p i ²
s u ¹	ʒ a ¹
tʃʰ ɨ ¹	tʃʰ ɨ ¹
kʰ ɛ̠ ³	kʰ ɛ̠ ³
ʒ o̠ ³	ʒ o̠ ³
a ²	a ²
ˀn i ¹	ɲ a ²
b o ¹	b o ¹
m a ŋ ¹	m o ¹
m j a ³	m j a ³
l y ¹	l y ¹
kʰ y ³	k j o̠ ³
tʰ a ²	tʰ a ²
m ɛ ²	m ɛ ²
ˀl a ²	l a ²
p o ²	p j ɨ ²
s a ²	s a ²
m u ³	ˀm u ¹
g u ³	g o ŋ ³
pʰ e ²	pʰ i ²
a ¹	a ¹
g i ¹	ɣ o ³
n i ²	n̩ ²
p o̠ ¹	p o̠ ¹
k i ³	ts ɛ ³
ɲ u ¹	n u ²
m o ²	m o ²
x a ¹	x a ¹
ɣ a ŋ ²	ɣ a ŋ ²
dʒ o̠ ³	dʒ o̠ ³
a ²	a ²
n e̠ ¹	n i̠ ¹
ts i ²	ts i ²
ɣ i ³	ɣ y ¹
d u ¹	d u ¹
tʃ a̠ ³	tʃ a̠ ³
ʃ a ¹	ʃ a ¹
d u ¹	d u ¹
tʰ a ²	tʰ a ²
g a ³	g a ³
kʰ a ²	kʰ a ²
kʰ o̠ ³	kʰ o̠ ³
s i ¹	s i ²
d a ¹	d a ¹
d e ³	d i ³
k ɛ ³	k ɛ ³
ʃ i ¹	ʃ i ¹
ˀn i ³	ˀn i ³
d a ¹	t a ŋ ³
v ¹	v u ¹
b a ŋ ²	b a ŋ ²
dz e ²	dz i ²
dz a ¹	dz a ¹
pʰ ɨ ¹	pʰ ɨ ¹
m e ²	ˀm u ²
b y̠ ³	b y̠ ³
v a ²	v a ³
ʃ y ²	s y ²
ˀn i ³	ˀn i ³
b a ¹	p e ¹
b ɛ ²	b o ²
m a ³	m a ³
ˀl a ²	l a ŋ ²
z i ²	s u ¹
n o̠ ³	n u̠ ¹
tʃ a ŋ ¹	tʃ ɛ ¹
ˀm j a ²	m j a ²
ˀv e̠ ³	v e ³
b u m ²	b ɨ ¹
l ɛ̠ ³	l e̠ ³
kʰ i ¹	kʰ i ¹
m a ³	m a ³
pʰ ɛ ¹	pʰ ɛ ¹
tʃʰ o̠ ¹	tʃʰ o̠ ¹
a ¹	a ¹
m a ²	m a ²
s a ²	s a ²
d i̠ ²	dz ɿ ³
n e̠ ³	n e̠ ³
s a ²	tsʰ i ²
e ²	e ²
v a ³	v a ²
ˀl a ²	ˀl a ²
b a ²	b a ²
l y ²	l y ²
n ɛ̠ ³	n ɛ ³
kʰ i ¹	kʰ i ¹
