k r aː p ʊ l k a m	k r aː p ʊ l a m
a k k ɛ p t aː r ɛ	a kː ɪ p ɛ r ɛ
a k j ɔ l y t ɛ r ʊ m	a d ʊ l t ɛ r ʊ m
p ɔ r t aː r ɛ	p ɔ r t aː r ɛ
a w lː ɪ n a m	a b ɛ lː a n a m
k r ʊ lː aː r ɛ	k ɔ rː ʊ ɛ r ɛ
s t r ɛ n w ʊ m	s t r eː n ʊː m
k aɪ n ʊ m	k aɪ n ʊ m
d eː s ɛ r t ʊ m	d eː s ɛ r t ʊ m
k a s t r aː t ʊ m	k a s t r aː t ʊ m
j ʊ w ɛ n k ʊ m	j ʊ w ɛ ŋ k ʊ m
a pː a r aː t ʊ m	a pː a r aː t ʊ m
g ɛ r m aː n ɪ k ʊ m	g ɛ r m aː n ɪ k ʊ m
a b g ʊ r aː t j oː n ɛ m	a b ɪ uː r aː t j oː n ɛ m
r eː k aː l k iː tʰ r aː r ɛ	r ɛ k a l k ɪ t r aː r ɛ
f a k ɪ l ɪ t aː t ɛ m	f a k ɪ l ɪ t aː t ɛ m
a k t ʊ m	aː k t ʊ m
m ɛ d ɪ t aː b ʊ n d ʊ m	m ɛ d ɪ t aː b ʊ n d ʊ m
m a n ɛ k a m	m a n ɪ k a m
w ɪ r aː g ʊ m	w ɪ r aː g ɪ n ɛ m
a b ɛ rː aː r ɛ	a b ɛ rː aː r ɛ
ɪ n k ɪ d ɛ r ɛ	ɪ ŋ k ɪ d ɛ r ɛ
j a s p ɪ d ɛ m	j a s p ɪ d ɛ m
m uː n ɪ t j oː m	m uː n iː t j oː n ɛ m
p ʊ t r ɛ m	p ʊ t r ɛ m
k ɪ b ʊ m	k ɪ b ʊ m
a s p ɛ r g eː r ɛ	a s p ɛ r g ɛ r ɛ
d ɔ n ɛ m	d oː n ʊ m
t r aː b s k ɛ n d ɛ r ɛ	t r aː n s k ɛ n d ɛ r ɛ
m ɛ s ʊ r aː r ɛ	m eː n s uː r aː r ɛ
f ɛ m ʊ r ɛ m	f ɛ m ʊ r
t j ɛ p ɪ d ʊ m	t ɛ p ɪ d ʊ m
ɔ r d ɛ n aː t oː r ɛ	ɔ r d ɪ n aː t oː r ɛ m
ɔ r iː g ɛ k n ɛ	ɔ r iː g ɪ n ɛ m
r ɛ m ɛ m b r aː r ɛ	r ɛ m ɛ m ɔ r aː r iː
p uː t r ɪ d ʊ m	p ʊ t r ɪ d ʊ m
ɪ n t ɛ rː ʊ m p ɛ r ɛ m	ɪ n t ɛ rː ʊ m p ɛ r ɛ
p r iː s j oː n ɛ m	p r ɛ h ɛ n s j oː n ɛ m
d aɪ k iː m aː r ɛ	d ɛ k ɪ m aː r ɛ
m a n ɛ ʊ m	m a ŋ n ʊ m
ɔ s t ɪ l ɛ m	h ɔ s t iː l ɛ m
r a s ʊ r a m	r aː s uː r a m
m ɔ n t oː s ʊ m	m ɔ n t ʊ oː s ʊ m
d j aː b l ʊ m	d j a b ɔ l ʊ m
l ɪ m p ɪ d m	l ɪ m p ɪ d ʊ m
s t aː b ɪ l ɛ m	s t a b ɪ l ɛ m
l a m ɛ n t aː r ɛ	l aː m ɛ n t aː r ɛ
k ɪ n ɛ n t oː m	kʷ iː ŋ g ɛ n t oː s
s p ɛ k t aː k ʊ l ʊ m	s p ɛ k t aː k ʊ l ʊ m
a kː uː s aː b ɪ l ɛ m	a kː uː s aː b ɪ l ɛ m
ɪ n w ɪ t aː r ɛ	ɪ n w iː t aː r ɛ
r ɔ n k aː r ɛ	r h ɔ ŋ kʰ aː r ɛ
g r a n aː j oː n ʊ m	g r aː n aː r j ʊ m
t eː m oː r ɛ m	t ɪ m oː r ɛ m
m ʊ n d ʊ m	m ʊ n d ʊ m
a n w ʊ m	a nː ʊː m
a k aː n t ʊ m	a k a n tʰ ʊ m
m a t ʊ r aː r ɛ	m aː t uː r aː r ɛ
l a m p aː r a m	l a m p a d ɛ m
n ɛ m oː r aː l ɛ	n ɛ m ɔ r aː l ɛ m
f uː l m ɪ n aː r ɛ	f ʊ l m ɪ n aː r ɛ
w ɔ r aː g ɪ n ɛ m	w ɔ r aː g ɪ n ɛ m
r ɛ f l oː r iː r ɛ	r ɛ f l oː r eː r ɛ
p r ɔ w ɛ n ɪ r ɛ	p r oː w ɛ n iː r ɛ
k ɔ t ɔ n	k oː t ɛ m
k eː l a p t ɛ m	k a l ɛ n t ɛ m
r ɪ k s a m	r ɪ k s a m
p uː l k r ʊ m	p ʊ l kʰ r ʊ m
p l ɔ b ɔ s ʊ m	p l ʊ w j oː s ʊ m
