ɕ r a ⁴	ɕ a ⁴
k o ŋ ¹	ɣ o ŋ ¹
ɣ ɔ ⁴	ɣ ɔ ¹
m o ŋ ²	m ø ²
n w æ ⁴	x w a ¹
n j o ²	ŋ j o ²
pʰ æ ⁴	pʰ æ ⁴
ts j i ¹	dʑ e n ¹
n j o ŋ ¹	n j o ¹
m ɯ ¹	m ɯ ²
ɕ o ŋ ¹	ɕ o ŋ ¹
tɕ ɯ ¹	tɕ ɯ ¹
ts r o ⁴	ts r o ⁴
n o ŋ ¹	n o ŋ ¹
s r i ⁴	s r i ⁴
p r e n ⁵	p r e n ⁵
b u ²	t u ²
kʰ o ŋ ¹	kʰ o ŋ ¹
ɖʐ o ¹	ɖʐ u ŋ ¹
b æ ¹	b æ ¹
s j e n ¹	s j e n ¹
tsʰ ɯ ³	tsʰ ɯ ³
b e ¹	b e ¹
s i ²	s r i ²
p j e n ¹	p r e n ¹
p j o ¹	pʰ j u ŋ ¹
k u ²	k u ²
ts i ²	ts i ²
d r o ŋ ¹	d r o ŋ ¹
kʰ o ¹	qʰ o ŋ ¹
j a ⁴	j a ⁴
ɣ u ¹	ʂ u ¹
p r a ⁴	b r æ ⁴
g u ¹	g u ¹
d a ¹	d ɔ ¹
m e ¹	m e ¹
ɖʐ i ⁴	ɖʐ i ⁴
g ɯ ¹	g ɯ ¹
ɕ o ⁴	ʔ o ⁴
ts r e ŋ ¹	ts r e ŋ ¹
tsʰ i ⁴	tɕʰ i ⁴
ɖʐ w ɛ n ⁵	ɖʐ w e n ⁵
q o ŋ ⁴	q ɔ ⁴
d j ɯ ⁴	d j ɯ ¹
k o ⁵	k o ⁵
d ɯ ⁴	tʲ ɯ ⁵
