j a ⁴	j a ⁴
pʰ æ ¹	pʰ æ ¹
ɕ o ⁴	ɕ o ⁴
s ɛ n ⁵	s e n ⁵
kʰ u ⁴	kʰ o ⁴
ɖʐ o ŋ ŋ ²	ɖʐ u ŋ ²
b ɯ ¹	b r i ¹
ts r u ⁴	ts r o ⁴
m æ ²	m æ ²
s j i ⁴	s j i ⁴
ɣ æ ⁴	ɣ æ ⁴
k ɯ ¹	k ɯ ¹
tʰ u ¹	tʰ r u ¹
d r ɯ ²	d r ɯ ²
n w ɯ ²	n j i ⁴
l ɔ ¹	l a ¹
sʰ w a ⁴	sʰ w a ⁴
m u ⁴	m ɔ ⁴
tʰ u ³	tʰ r u ³
q æ ŋ ¹	q æ n ¹
j e n ¹	j e n ¹
j a ⁴	j a ⁴
sʰ ɛ ⁴	sʰ ɛ ⁴
ŋ w e n ¹	ŋ w e n ¹
g ɯ ¹	g ɯ ¹
x ɔ ³	h ɔ ³
ɖʐ i ²	ɖʐ i ²
b o ¹	b ã ¹
g o ¹	g o ¹
n o ŋ ⁵	n o ŋ ⁵
t r ɯ ⁵	tʲ ɯ ⁵
p j o ⁵	p j o ⁵
d j æ ¹	t æ ¹
ɣ o ⁴	ɣ u ⁴
n ɛ ¹	n ɛ ¹
m ɯ ²	m ɯ ²
tʰ r i ¹	tsʰ r i ¹
tsʲʰ j e n ¹	tsʰ j e n ¹
j o ⁴	j ɔ ⁴
s i ²	s i ²
k w i ¹	k w ɛ ¹
t w i ⁴	d w ɛ ⁵
ɕ i ⁴	ɕ i ⁴
p r ɛ ²	p ɛ ²
sʰ r o ŋ ¹	sʰ r ɔ ¹
d r ɯ ¹	ʈ ɯ ⁴
χ æ n ¹	χ æ n ¹
