m a ŋ ²	m a ŋ ²
a ¹	a ¹
d e̠ ³	d ɛ̠ ³
ɣ i ¹	ɣ i ¹
dz e ¹	dz e ¹
s i ¹	s i̠ ¹
ts a ³	ts a ³
p ɨ ²	p ɨ ²
tsʰ ɨ ³	tʃʰ i̠ ³
ʃ ɨ ²	ʃ ɨ̠ ³
p o̠ ²	p u ²
tsʰ i ³	tsʰ i̠ ¹
g u ¹	g a ¹
kʰ i ¹	kʰ i ¹
ɣ i ¹	ɣ ɨ ¹
p a ŋ ¹	p ɨ̠ ¹
b y ³	b y ³
x a̠ ²	x a̠ ³
ˀl a ŋ ¹	ˀl u ²
kʰ i ¹	kʰ i ¹
ˀn ɛ ³	ˀn i ³
a ¹	a ¹
v e̠ ²	ˀv i̠ ³
pʰ y ²	pʰ y ²
v e ²	v i ²
dʒ a ŋ ¹	dʒ a ŋ ¹
ˀl u ³	l u ³
kʰ o̠ ³	kʰ o̠ ³
ɛ ²	ɛ ²
ŋ a ¹	ŋ a ¹
n̩ ²	n i ²
a ¹	a ¹
a ²	a ²
p a̠ ³	p a̠ ³
k o ²	k j o ²
t a ¹	kʰ o̠ ¹
a ¹	a ²
ˀm o̠ ²	m o̠ ³
pʰ i̠ ³	pʰ i̠ ³
b o ³	b a ²
t u ¹	t u ¹
a ¹	a ¹
ˀn i ³	ˀn i ³
ts e ³	ts i̠ ³
m o ²	m o ²
a ²	a ²
kʰ i ²	kʰ a ²
g o̠ ³	g o̠ ³
pʰ e ³	pʰ e̠ ¹
ɣ i ³	ɣ i̠ ³
ɣ i ¹	ɣ i ¹
d u ¹	d u ¹
l u ³	l u̠ ¹
d a ²	d a ²
dz e ²	dz i ³
v a ³	v a ³
b ɛ ²	b o ²
l a ŋ ³	l o̠ ³
a ¹	a ¹
ɣ i ¹	ɣ i ¹
m a ŋ ¹	m o ¹
ˀl y ¹	ˀl y ³
v e̠ ³	v e̠ ³
tʰ ɛ ³	tʰ ɛ ³
ts o̠ ³	ts o̠ ¹
m e ¹	m e ¹
b ɛ ¹	b ɛ̠ ¹
ˀm o̠ ¹	ˀm u ¹
s ɛ ²	s ɛ ²
t a ³	t u ¹
tʰ a ²	tʰ a ²
ˀn e̠ ¹	ˀn e̠ ¹
tsʰ ɛ ¹	tsʰ ɛ ¹
m a ³	m a ³
b a̠ ²	b ɨ ²
tʰ y ²	tʰ y ¹
ˀn i ³	ˀn i ³
a ¹	a ¹
tʃ a ³	tʃ a̠ ³
kʰ y ³	kʰ y ²
ʒ a ŋ ¹	ʒ u ¹
n e̠ ³	ˀn e̠ ³
tsʰ e̠ ¹	tsʰ e̠ ³
tʃ ɨ ¹	tʃ i̠ ¹
s a ¹	s a ¹
b a ²	b a ²
a ¹	a ¹
l o̠ ¹	l u̠ ¹
ˀl a ŋ ³	ˀl a ŋ ³
k a ³	k a̠ ³
ts a ³	dʒ ɛ ²
l a ²	l a ²
g j o ¹	g ɨ ¹
p a̠ ³	p a̠ ³
z o ³	s i ³
n j ²	n u ²
dz i ¹	dz i ¹
tʃ ɨ ¹	tʃ u ¹
d u ¹	d u ¹
s a ²	s a ²
x ɨ ³	x ɨ̠ ³
m a ²	m ɨ ²
ˀm ɛ ¹	ˀm ɛ ¹
n e̠ ¹	ˀn y ¹
m i ¹	m i ¹
p a̠ ³	p a̠ ³
tsʰ a ¹	tsʰ a ¹
pʰ e ¹	pʰ e ²
kʰ i ²	kʰ ɨ ²
tsʰ y ¹	tsʰ y ¹
a ¹	a ¹
k o ¹	k j i ³
b j ɛ̠ ³	b j a̠ ³
h e ¹	h e ¹
m i ¹	m i ¹
k a ŋ ³	k o ³
ʃ i̠ ²	tʃʰ i ²
ˀm y ¹	ˀm j y̠ ¹
p a̠ ³	p ɛ̠ ¹
tsʰ a ŋ ¹	tsʰ a ŋ ¹
kʰ e̠ ¹	kʰ e̠ ¹
g ɛ ²	g j ɛ ²
d e̠ ¹	d e̠ ¹
v ɛ ²	ˀv ɛ ²
ˀv a ¹	ˀv a ¹
