pʰ ɛ ŋ ¹	pʰ ɛ ³
ɣ a ¹	s e ¹
h e ¹	h e ¹
p ɨ ¹	p ɨ ¹
z i̠ ³	z i ³
t ɛ̠ ³	t a̠ ³
n i ²	n i ²
b o ²	b e ²
a ¹	a ¹
m o ¹	m u ¹
tʰ a ŋ ²	tʰ o ²
v ɛ̠ ³	v ɛ̠ ³
l a ²	l a ²
a ¹	a ¹
n i ²	n̩ ²
kʰ ɛ̠ ³	kʰ ɛ̠ ³
a ¹	a ²
k u ¹	k a ²
x i ¹	x ɨ ¹
ɣ a ²	ɣ a ²
k u ¹	k u ¹
s ɛ ²	s ɛ ²
p a̠ ³	p a̠ ³
m a ³	m a ³
k ɛ ¹	k ɛ ¹
l ɛ̠ ³	l ɛ̠ ³
d e ³	d e̠ ³
tsʰ i ²	tsʰ i ²
tʰ y ³	tʰ y ¹
ˀn a ¹	ˀn a ¹
b y ²	b y ²
b i ²	b j o ²
tʰ ɛ ²	tʰ a ŋ ²
pʰ j a ²	pʰ a ¹
l o̠ ¹	l u̠ ¹
ʒ i ¹	ʒ e ¹
m o ¹	m o ¹
j a ŋ ³	j a ŋ ²
m a ³	m a ³
dz i ²	dz i ²
tʃ a̠ ³	tʃ a̠ ³
g ɛ ²	s y ²
ʃ a ³	ʃ a̠ ³
m e̠ ³	m ɛ ³
k ɛ ³	k ɛ ³
o ¹	e̠ ¹
ʃ ɛ ¹	ʃ ɛ ¹
k e̠ ²	k j e ²
m a ŋ ²	m a ŋ ²
b a ²	b a ²
l e̠ ³	l e̠ ³
t y ¹	t y ¹
n i ²	n i ²
b ɛ ²	b o ¹
s e ²	s ɛ ²
z e̠ ³	z e̠ ³
v e̠ ³	v e̠ ³
n i ¹	n i ¹
d a ¹	t a ŋ ³
d e̠ ³	d e̠ ¹
x a ŋ ¹	dʒ i ²
t i̠ ²	t e ²
b j a ²	b j a ²
ˀn e̠ ³	n e ²
n ɛ ¹	ɲ e ¹
a ¹	a ¹
a ¹	a ¹
v a ²	v a ²
k o̠ ³	k o̠ ¹
h e ¹	h e ¹
tsʰ e ¹	tsʰ e̠ ¹
l a ²	l a ²
v e̠ ³	v i̠ ³
ɣ i ¹	ɣ i ¹
ts i ²	ts i ²
a ¹	a ¹
pʰ o ²	pʰ ɨ ²
ʒ e̠ ¹	ɣ e̠ ¹
kʰ i ³	kʰ ɨ ³
l y ¹	l y ¹
a ¹	a ¹
p a ŋ ¹	p a ŋ ¹
m a ²	m a ²
ˀn ɛ̠ ³	ˀn ɛ̠ ³
m a ³	m a ³
ʒ ɨ ²	ʒ i̠ ³
k ɨ̠ ³	k e̠ ³
n e ¹	n e ¹
tsʰ u ¹	tsʰ u ¹
a ¹	a ¹
ˀl o̠ ³	ˀl o̠ ¹
ɨ ²	ɨ̠ ³
tsʰ ɛ ¹	tsʰ ɛ ¹
k ɛ̠ ¹	k ɛ ³
ʃ a ¹	ʃ a ³
t i ¹	t i ¹
b e̠ ¹	b e̠ ¹
ˀm i ³	ˀm i ³
dz i ¹	tʰ a ²
ʃ ɛ ¹	ʃ ɛ ¹
ɣ u ¹	ts u ¹
g j u ³	g u ³
a ¹	a ¹
ɣ i ¹	ɣ ɨ ¹
k y ³	k a ŋ ²
tʃ a ŋ ¹	tʃ ɛ ¹
n e̠ ²	ˀn e̠ ³
a ¹	a ¹
v e̠ ³	v e̠ ³
l e̠ ³	l e̠ ¹
m u ¹	m j a ²
l o̠ ³	l u̠ ¹
pʰ ɨ ¹	pʰ ɨ ¹
tʰ a ³	dz ɛ̠ ³
ˀm e̠ ¹	ˀm j e̠ ¹
ʒ u ¹	ʒ o̠ ¹
kʰ a ³	kʰ a ³
n u ¹	n u̠ ¹
d a ŋ ³	d u ³
ʃ ɨ̠ ²	ʃ ɨ̠ ³
dz a ³	dz i̠ ¹
a ¹	a ¹
a ¹	a ¹
t e̠ ¹	t i̠ ¹
k ɛ̠ ³	k u ²
