t aː k t ɪ l ɛ	t aː k t ɪ l ɛ m
m uː g iː r ɛ	m uː g iː r ɛ
k aː n ɪ n ʊ m	k a n iː n ʊ m
w ɛ n d ɛ m j a m	w iː n d eː m j a m
d ɛ k ɪ m aː r ɛ	d ɛ k ɪ m aː r ɛ
t ʊ sː ɛ r ɛ	t ʊ sː iː r ɛ
n ʊ m t ɔ r j ʊ m	n oː t oː r j ʊ m
r ɛ k ʊ n ɔ s ɛ r ɛ	r ɛ k ɔ ŋ n oː s k ɛ r ɛ
p aː t r j a m	p a t r j a m
ɛ k s k ɔ g ɪ t a m r ɛ	ɛ k s k oː g ɪ t aː r ɛ
d ɛ m l ʊ b r ʊ m	d eː l uː b r ʊ m
d ɪ s t ɪ n k t ʊ m	d ɪ s t ɪ ŋ k t ʊ m
ɛ k s ɛ kʷ ʊ r ɛ	ɛ k sː ɛ kʷ iː
a m aː r ɛ	a m aː r ɛ
s k aː r a m b ɛ l ʊ m	s k a r a b aɪ ʊ m
s ɪ k ɔ f a n t a m	s yː k ɔ pʰ a n t a m
kʷ aː r t ʊ m	kʷ aː r t ʊ m
r aː d j aː t j oː n ɛ	r a d j aː t j oː n ɛ m
s aː l aː r j ʊ m	s a l aː r j ʊ m
d ɪ s k ɪ ŋ g ɛ r ɛ	d ɪ s k ɪ ŋ g ɛ r ɛ
s ɔ n ɔ r ʊ m	s ɔ n oː r ʊ m
w ɪ d ʊ m	w ɔ k ɪ t ʊ m
a n ɪ m aː l ɛ	a n ɪ m a l
l ɛ t ɛ r a m	l ɪ tː ɛ r a m
n ʊ t r ɪ k ɛ	n uː t r iː k ɛ m
k ɔ r j a n d ʊ m r ʊ m	k ɔ r j a n d r ʊ m
l aː k t a m r ɛ	l a k t aː r ɛ
k ɔ lː ɛ m	k ɔ lː ɛ m
t uː r a m	t uː r a m
k r ɛ t a m	k r eː t a m
r ɛ t ɪ	r eː t ɛ
k r ɛ ɪ m ɪ n aː t j oː n ɛ m	k r iː m ɪ n aː t j oː n ɛ m
p j ɛ l ɪ k a m	p ɛ d ɪ k a m
r ɛ k ɔ n k ɪ l j aː r ɛ	r ɛ k ɔ ŋ k ɪ l j aː r ɛ
b l aː t ɛ r aː r ɛ	b l a t ɛ r aː r ɛ
k ɔ n t ɛ n t j oː n ɛ m	k ɔ n t ɛ n t j oː n ɛ m
ɪ mː aː k ʊ l aː t ʊ m	ɪ mː a k ʊ l aː t ʊ m
m ɪ n ʊ ɪ r ɛ	m ɪ n ʊ ɛ r ɛ
k ɔ n k ʊ s j ɔ n	k ɔ ŋ k ʊ sː j oː n ɛ m
s t r aː t ʊ m	s t r aː t ʊ m
d ɛ m t r aː ɛ r ɛ	d eː t r a h ɛ r ɛ
ɪ n ʊ m aː n ɪ t aː t ɛ m	ɪ n h uː m aː n ɪ t aː t ɛ m
m ɔ r ɪ b ʊ n d ʊ m	m ɔ r ɪ b ʊ n d ʊ m
d ɛ l aː t j oː n ɛ m	d eː l aː t j oː n ɛ m
f ʊ l g ʊ m r ɛ	f ʊ l g oː r ɛ m
d ɛ m m oː n ɪ k ʊ m	d aɪ m ɔ n ɪ k ʊ m
g r aː t ʊ ɪ t ʊ m	g r aː t ʊ iː t ʊ m
m a n s ʊ ɛ t ʊ m d ɪ r ɛ m	m aː n s ʊ eː t uː d ɪ n ɛ m
aʊ r a	aʊ r a m
ɪ m p ɛ r j aː l ɛ	ɪ m p ɛ r j aː l ɛ m
d ɛ n ɔ m ɪ n aː t j oː n ɛ m	d eː n oː m ɪ n aː t j oː n ɛ m
w ɪ s ɪ b ɪ l ɪ t aː d ɛ m	w iː s ɪ b ɪ l ɪ t aː t ɛ m
k a r n oː s ʊ m	k a r n oː s ʊ m
d ɛ m ɔ n s t r aː r ɛ	d eː m oː n s t r aː r ɛ
ʊ w a m	uː w a m
ɪ n t aː m p ɛ s t ɪ w ɪ t aː t ɛ	ɪ n t ɛ m p ɛ s t iː w ɪ t aː t ɛ m
p ʊ l k r ɛ ɪ t ʊ d ɛ m	p ʊ l kʰ r ɪ t uː d ɪ n ɛ m
l ɪ g aː t j oː n ɛ m	l ɪ g aː t j oː n ɛ m
p ɔ s t ɪ b ʊ l ʊ m	p r oː s t ɪ b ʊ l ʊ m
s ʊ b mː ɛ t ɛ r ɛ	s ʊ mː ɪ tː ɛ r ɛ
w aː r j ʊ	w a r j ʊ m
f r ɔ n t oː n ɛ m	f r ɔ n t oː n ɛ m
s ʊ mː ʊ m	s ʊ mː ʊ m
k ɔ m p ʊ n k t j oː n ɛ m	k ɔ m p ʊ ŋ k t j oː n ɛ m
s k ɪ n d ɛ r ɛ	s k ɪ n d ɛ r ɛ
a k oː n ɪ t ʊ m	a k ɔ n iː t ʊ m
w aː k ɪ lː a m r ɛ	w a k ɪ lː aː r ɛ
k ɔ r b ɛ l ʊ m	k ɔ r b ɛ m
ɪ ŋ n ɔ m ɪ n j a m	ɪ ŋ n oː m ɪ n j a m
b aː s ʊ m	b a sː ʊ m
ɛ kʷ ʊ m	aɪ kʷ ʊ m
f ɪ l ɔ s ɔ f j a m	pʰ ɪ l ɔ s ɔ pʰ j a m
ɛ r ɔ m p ɛ r ɛ	eː r ʊ m p ɛ r ɛ
w aː r j ɪ ɛ t aː t ɛ m	w a r ɪ ɛ t aː t ɛ m
ɪ l ʊ t ɪ r ɛ	ɪ lː uː d ɛ r ɛ
p ɛ l ɪ m b ʊ l aː r ɛ	p ɛ r a m b ʊ l aː r ɛ
w ɪ t ɛ m	w iː t ɛ m
l ɪ t ɛ m	l iː t ɛ m
d ɪ fː aː m aː t oː r j ʊ m	d ɪ fː aː m aː t oː r j ʊ m
t ɛ rː ɛ m m ɔ t ʊ m	t ɛ rː aɪ m ɔ t ʊ m
a l k ɛ m	a l k ɛ m
p aː t r a s t r ʊ m	p a t r a s t r ʊ m
m ɛ s t m ɪ k ʊ m	m ɪ k s t iː k j ʊ m
k ɪ k m ʊ m	k ɪ kː ʊ m
ɪ n mː aː t ʊ r ʊ m	ɪ mː aː t uː r ʊ m
n ʊ m ɛ m r aː r ɛ	n ʊ m ɛ r aː r ɛ
w ɛ n ɛ r aː t j oː n ɛ m	w ɛ n ɛ r aː t j oː n ɛ m
a m ɛ n ʊ m	a m ɔ ɪ n ʊ m
ɪ n f ɪ r m a m r ɛ	iː n f ɪ r m aː r ɛ
d ɛ f ɛ n s oː r ɛ	d eː f eː n s oː r ɛ m
r ɛ p aː r aː r ɛ	r ɛ p a r aː r ɛ
a fː ɛ k t ʊ m	a fː ɛ k t ʊ m
k aː s aː r ʊ m	k aː s ɛ aː r j ʊ m
ɔ l oː r ɛ	ɔ l oː r ɛ m
r j aː g ɪ r	r ɛ a g eː r ɛ
k ʊ r ʊ m	k ɔ r j ʊ m
p ɛ r p ɛ t ʊ ɪ t aː t ɛ m	p ɛ r p ɛ t ʊ ɪ t aː t ɛ m
p ʊ t aː r ɛ m	p ʊ t aː r ɛ
ɪ m p ɛ r ɪ t j a m	ɪ m p ɛ r iː t j a m
a aː n d ɛ r ɛ	a kː ɛ n d ɛ r ɛ
k ɛ l ɛ b r a m r ɛ	k ɛ l ɛ b r aː r ɛ
k aː r ɔ t a m	k a r oː t a m
d ɪ s k r ɛ p aː r ɛ	d ɪ s k r ɛ p aː r ɛ
k oː nː ʊ m	k ʊ nː ʊ m
ɪ m p aː r	ɪ m p a r ɛ m
ɛ m ʊ ŋ g ɛ r ɛ	eː m ʊ ŋ g ɛ r ɛ
w ɛ n j aː	w ɛ n j a m
d oː n ʊ m	d oː n ʊ m
k ʊ m lː aʊ d aː r ɛ	k ɔ lː aʊ d aː r ɛ
r ɛ k ɛ d ɛ r ɛ	r ɛ k eː d ɛ r ɛ
t r ʊ k ʊ l ɛ n t ʊ m	t r ʊ k ʊ l ɛ n t ʊ m
j uː n j ɔ r ɛ	j uː n j oː r ɛ m
oː t j oː s ʊ m	oː t j oː s ʊ m
s ʊ s p aː s ɛ m	s ʊ s p ɛ k t j oː n ɛ m
ɛ fː ɪ k aː k ɛ	ɛ fː ɪ k aː k ɛ m
b ɛ lː ɪ k ʊ m	b ɛ lː ɪ k ʊ m
b aː k ɛ l j ɛ r ɛ	b a kː a l aʊ r ɛu m
a l w ɛ ʊ m	a l w ɛu m
s k aː b j aː	s k a b ɪ ɛ m
p ɔ r t aː b ɪ l ɛ	p ɔ r t aː b ɪ l ɛ m
b ɛ m s t r uː k ʊ m	s t r uː tʰ j oː n ɛ m
p ɛ k uː l j ʊ m	p ɛ k uː l j ʊ m
d ɛ m p ɛ r ɪ k ɛ r ɛ	d eː p ɛ r iː r ɛ
ɛ r ɛ t ɪ k ʊ m	h aɪ r ɛ t ɪ k ʊ m
p l aː n ɛ t a m	p l a n eː t a m
a b aː k ʊ l ʊ m	a b a k ʊ l ʊ m
a w aː l aː n s a	l aː b iː n a m
m aː g ɛ s t aː t ɛ m	m a j ɛ s t aː t ɛ m
w ɪ lː aː n ʊ m	w iː lː aː n ʊ m
a l ʊ t ɪ n aː r ɛ	aː l uː k ɪ n aː r iː
f ɪ d ɛ l ɛ	f ɪ d eː l ɛ m
l uː k ɛ r n a m	l ʊ k ɛ r n a m
f ɔ r m a m	f oː r m a m
b l aː m t ɛ m m aː	b l a s pʰ eː m aː r ɛ
s ɔ lː ɛ m w aː r ɛ	s ʊ b l ɛ w aː r ɛ
n ɔ w ɪ t j ʊ m	n ɔ w iː k j ʊ m
s ʊ pː l ɪ r ɛ	s ʊ pː l eː r ɛ
a kː aː d ɛ m j a m	a k a d eː m iː a m
d ɛ ŋ n aː r ɛ	d ɪ ŋ n aː r ɛ
f ɪ k t j oː n ɛ m	f ɪ k t j oː n ɛ m
s ɔ m ɪ aː r ɛ	s a g m aː r j ʊ m
w aː lː ʊ m	w a lː ʊ m
m uː l ʊ m	m uː l ʊ m
m aː k s k ɛ lː aː r ɛ	m a k s ɪ lː a r ɛ m
