χ ɯ ²	χ ɯ̃ ²
m ɔ ¹	m ɔ ¹
p r a ŋ ⁵	b a ŋ ⁴
k o ⁴	k o ⁴
k r w a ⁴	q w a ⁴
tsʰ ɯ ³	tsʰ ɯ ³
tɕ j æ ⁴	tɕ æ ¹
s r e ŋ ¹	sʰ r e ŋ ¹
ʈ o r ⁴	ʈ o ⁴
k r e ²	k r o ²
q æ n ²	q æ n ¹
z ɔ ¹	z ɔ ¹
s r o ¹	s r o ¹
ts j æ n ¹	tɕ æ ŋ ¹
g o ¹	g o ¹
ɣ o ⁵	ɣ u ⁴
k u ŋ ¹	k o ŋ ¹
tʰ ʔ e ⁴	tʰ j e ⁴
qʰ ɯ ¹	k ɯ ¹
qʰ ɔ ²	qʰ ɔ ²
ɯ ²	ɯ̃ ²
b r u ²	b ɯ ²
d i ɯ ¹	d j ɯ ¹
ɖʐ o ⁴	ɖʐ o ⁴
q a ŋ ¹	q a ŋ ¹
k o ŋ ²	k o ŋ ²
l ɔ ¹	l ɔ ¹
p r e n ¹	p r e n ¹
ŋ u ŋ ²	ŋ u ²
q æ ŋ ¹	q æ n ¹
tsʲʰ j e n ¹	tsʰ j e n ¹
ts i ²	ts i ²
d r r o r ⁴	d r o ⁴
ɖʐ w ɛ n ⁵	ɖʐ w e n ⁵
s o ²	s u ŋ ²
j i ³	j i ³
m ɯ ⁴	m ɯ ⁴
pʰ æ ¹	pʰ æ ¹
x e n ¹	x e n ¹
n i ¹	n j e ŋ ¹
ʁ a ŋ ¹	ʁ a ŋ ¹
tʰ u ¹	tʰ r u ¹
ts r w ɛ ⁴	ts w ɛ ⁴
sʰ r æ ⁴	sʰ r æ ⁴
ɖʐ i ⁴	ɖʐ i ⁴
kʰ o ⁴	kʰ o ⁴
ŋ j e n ¹	n j e n ¹
