ʃ ɨ ¹	ɣ i ¹
n̩ ²	n i ²
tsʰ i̠ ²	kʰ j i ²
dz a ²	dz a ²
h o ²	h ɛ ²
g u ³	g o ŋ ³
v e̠ ³	v i̠ ³
m j a ŋ ¹	m j a ŋ ¹
ɣ a ¹	ɣ a ³
s i ¹	s e ¹
tsʰ u ¹	tsʰ u ¹
tʃʰ i̠ ²	tʃʰ u ²
l a ³	l a ³
ts a ŋ ³	ts u ²
ɲ i ³	ˀŋ j a̠ ¹
a ²	a ²
kʰ u ²	kʰ u ¹
d i ¹	d i ¹
m a ³	m a ³
x a ³	ˀx a ³
l u ³	l e̠ ³
ˀm ɛ ²	ˀm ɛ ²
b y ²	b y ²
s ɛ ²	h a ¹
x a̠ ³	x a̠ ³
s a̠ ³	ʃ a̠ ³
m e ²	m a ³
h ɛ ³	s e ³
s e ¹	s e ¹
ɛ ²	ɛ ²
ʃ y ²	s y ²
m o̠ ¹	m o̠ ¹
v ¹	v u ¹
a ²	a ²
k i ¹	k i ¹
h a ¹	h a ¹
ˀn i ³	ˀn i ³
m o ³	m ɨ ²
n i ³	ɲ a ²
ˀm a ²	ˀm a ²
p o̠ ³	p o̠ ¹
ˀm e̠ ¹	ˀm j e̠ ¹
t a ³	t a ³
m a ³	m o ²
v ɛ ³	pʰ e ²
ɲ u ¹	n u ²
dz ɛ ¹	dʒ ɛ ¹
pʰ a ¹	pʰ j a ¹
ˀn i ³	ˀn i ³
d a ¹	d a ŋ ¹
m o ¹	m u ¹
l ɛ̠ ³	l e̠ ³
kʰ a ŋ ¹	kʰ j y ¹
dʒ o̠ ³	dʒ o̠ ³
x a ¹	k u ³
l ɛ ¹	l ɛ ¹
a ²	a ²
ʃ y ¹	s y ¹
dz u ³	dʒ u ³
ˀm e̠ ¹	ˀm j e̠ ¹
tʃ ɛ ¹	t e̠ ³
ts e ¹	tʃ e ¹
b j a ²	b j a ²
f u ³	f u ³
n e ³	n e ³
ts e ³	ts i̠ ³
n ²	n u ²
k ɛ̠ ³	k a̠ ³
m i ¹	m i ¹
kʰ i ²	kʰ ɨ ²
ˀn i ³	ˀn i ³
pʰ ɛ ³	pʰ ɛ ³
n y ¹	n y ¹
ˀm i ³	ˀm j e̠ ¹
l o̠ ¹	l u ¹
l a ²	l a ²
p ɨ ²	p ɨ ²
n ɛ̠ ³	n ɛ ³
g j ɨ ²	g u ²
b o̠ ²	b o̠ ¹
z e̠ ³	z e̠ ³
dʒ i ²	dz a ŋ ²
n i ³	n i̠ ¹
m a ²	m o ²
a ¹	a ¹
a ¹	a ¹
t u ¹	tʃʰ ɛ ²
v a ³	v a ³
b o ²	b o ²
s i ²	s i ²
g i̠ ²	k u ³
m a ²	m a ²
ʃ ɛ ²	ɣ u ²
ˀl u ³	ˀl u ³
m i ¹	m i ¹
tʰ a ³	dz ɛ̠ ³
n y ³	n e̠ ³
dz i ¹	dz i ¹
pʰ o ²	pʰ ɨ ²
ˀl a ²	l a ŋ ²
tsʰ e ¹	tsʰ e ¹
h e ¹	h e ¹
b ɛ̠ ¹	b ɛ̠ ¹
d i ¹	d i ¹
b i ²	b i ²
h y̠ ²	h y̠ ³
l a ¹	l a ¹
g a ²	g a ²
b j ɛ̠ ³	b j a̠ ³
a ³	a ²
ɣ a ŋ ¹	ɣ a ŋ ¹
kʰ i ²	ɣ ɛ̠ ³
g j y o ²	g y ²
kʰ ɛ ²	kʰ j ɛ ²
d u ³	d e̠ ³
d ɨ̠ ²	d u ¹
ʃ a ¹	h a ¹
g j i ²	s i ¹
ʃ i̠ ³	ʃ i̠ ¹
p ɨ̠ ¹	p ɨ ¹
p e̠ ¹	pʰ e̠ ¹
a ¹	a ¹
x y ¹	ˀx o̠ ¹
g u ³	g o̠ ¹
m ɛ ²	m e ²
