d ə ʔ̚ ⁵¹	t ə ʔ̚ ⁰
n a ¹¹	n̥ a ¹¹
m ə ŋ ¹¹	m ə ŋ ¹¹
k o i ⁵¹	k o t ⁵⁵
k r a ¹¹	g r a ¹¹
d a ʔ̚ ⁵¹	d a ʔ̚ ⁵¹
kʰ u ¹¹	kʰ u ¹¹
l ei ⁵⁵	l ei ⁵⁵
ʔ a m ¹¹	ʔ a m ¹¹
ˀd a ⁵⁵	ˀd ɛ ⁵⁵
pʰ a ¹¹	pʰ a ¹¹
s ɔ ʔ̚ ⁵¹	kʰ r ɔ t ⁵¹
l a ¹¹	l ɛ ¹¹
n w ɛ ¹¹	n̥ w ɛ ¹¹
s o ⁰	s o ⁵⁵
l w i ⁰	l̥ w i t̚ ⁵⁵
r e ŋ ⁵⁵	r̥ e ŋ ⁵⁵
kʰ l ei ⁵⁵	kʰ l ei ⁵⁵
ˀb a ŋ ¹¹	ˀb a ŋ ¹¹
l o ʔ̚ ⁵¹	l o ʔ̚ ⁵¹
ɟ w i ʔ̚ ⁵¹	c w i k̚ ⁵¹
tʰ u ⁵⁵	tʰ u ⁵⁵
r w i ŋ ⁵¹	r̥ w i ʔ̚ ⁵¹
s ə ⁵⁵	s ə ⁰
k u ¹¹	k u ⁵⁵
j ɔ ʔ̚ ⁵¹	j ɔ ʔ̚ ⁵¹
ŋ a ⁵⁵	ŋ̊ a ⁵⁵
ˀb a ⁵⁵	ˀb a ⁵⁵
kʰ a ¹¹	kʰ a ¹¹
s ou ¹¹	s ou ¹¹
tʰ a ŋ ¹¹	tʰ a ŋ ¹¹
cʰ ei ⁵⁵	cʰ ei ⁵⁵
s u ⁰	s u ⁵⁵
cʰ u ŋ ⁵⁵	cʰ u ɴ ⁵⁵
g o ¹¹	g o ¹¹
r ɔ ⁵⁵	r ɔ ⁵⁵
