z a ²	z a ²
a ¹	a ¹
dz e ¹	dz e ¹
tsʰ e̠ ¹	tsʰ e̠ ¹
z a ²	z a ²
l a ²	l a ²
ˀl i ¹	ˀl u ¹
l y ³	l y ³
ʃ a̠ ³	ʃ a̠ ³
m i ¹	m i ¹
a ²	a ²
ʃ ɛ ¹	ʃ ɛ ¹
pʰ ɛ ¹	pʰ ɛ ³
pʰ i ²	pʰ i ²
l a ¹	l a ¹
t a ³	t a ³
m a ŋ ¹	m a ŋ ³
m a ³	m a ³
g ɨ̠ ²	g u ²
s y ¹	ʒ a ¹
dz i ³	dz i ³
tʰ a ²	tʰ a ²
a ¹	a ¹
a ¹	a ¹
t a ³	t a̠ ³
s ɛ ²	s ɛ ²
l e̠ ³	l e̠ ¹
h a ¹	h a ¹
tsʰ i ¹	tsʰ y ¹
b j y ¹	b j y ¹
ɣ o ³	ɣ y̠ ³
tʰ a ³	tʰ e̠ ³
d y ¹	d a ŋ ¹
a ¹	a ¹
kʰ o̠ ¹	kʰ o̠ ¹
k u ¹	k u ²
n i̠ ¹	n i̠ ¹
n i ¹	n i ¹
v e ¹	v e ¹
kʰ e̠ ¹	kʰ e̠ ¹
x a ¹	x a ¹
l i ³	ˀl u̠ ¹
ŋ ²	n u ²
tʰ ɛ ³	tʰ ɛ ³
b y ²	b a ²
l a ²	l a ²
l e̠ ³	l e̠ ³
m u ¹	m o ²
d a ¹	t a ŋ ³
k o ¹	k j o ¹
n̩ ²	n i ²
k i ³	k j i ³
a ³	a ²
kʰ u ¹	kʰ u ¹
ts i ²	ts i ²
tsʰ y ¹	tsʰ y ¹
a ¹	a ¹
x y ¹	x y ¹
tsʰ e ³	tʃ e̠ ³
pʰ j a ¹	pʰ a ¹
kʰ j i̠ ²	kʰ j i ²
n y ¹	n y ¹
p y ¹	p y ¹
ˀn ɛ̠ ³	ˀn ɛ̠ ³
z i ²	z i ²
d ɛ ²	d e ²
t u ¹	t u ¹
tsʰ i ²	tsʰ i ²
kʰ i ¹	kʰ i ¹
ˀn i ²	n i ²
d u ³	d u ³
dz o̠ ²	ts u ²
pʰ e ¹	pʰ e ¹
s ɛ ²	s e ²
ɣ i ¹	ɣ i ¹
m j a ²	m j a ²
x a̠ ³	x a̠ ³
pʰ a ²	pʰ j a ŋ ²
b a ²	b a ²
s u ²	ʃ y ¹
tʃʰ ɨ̠ ²	tʃʰ ɨ ²
ˀv a ¹	ˀv a ¹
k o̠ ³	k o̠ ¹
ˀm a ³	ˀm a ³
n a ²	n a ²
ɣ y ³	ɣ i ¹
l a ¹	l a ¹
ˀn o ¹	ˀn y ¹
tʃ ɛ ¹	tʃ ɛ ¹
b o ³	b o ³
ts ɛ ¹	ts ɛ ¹
n i̠ ¹	n i̠ ¹
a ¹	a ¹
p a ¹	p a ¹
f u ³	f u ³
k ɛ ¹	k ɛ ¹
k a ³	g a ³
n i ²	n i ²
d e ¹	d i ¹
s y ²	s y ²
ˀŋ j a ¹	ŋ j a̠ ¹
b i ³	b j e̠ ³
m ɛ ²	m ɛ ²
b a ²	b a ²
g a ²	g a ²
n y ¹	n e̠ ³
a ¹	a ¹
kʰ u̠ ³	k a ²
ʃ ɨ ²	ʃ ɨ ²
z e̠ ³	z e̠ ³
h a ŋ ²	h a ŋ ²
s i̠ ³	ʃ i ³
n y ¹	n y ¹
z a ²	z a ²
ʃ a ¹	ʃ a ¹
kʰ ɨ ³	kʰ ɨ ³
m a ³	m a ³
pʰ j ɛ ¹	pʰ ɛ ³
k a̠ ³	k a̠ ³
ˀl a ²	ˀl a ²
z i ³	z i ³
tsʰ e ¹	k i ¹
d e ³	d e ³
dʒ a ²	dʒ ɛ ²
