a ¹	a ¹
k i ¹	k ɨ ¹
tsʰ u ¹	tsʰ u ¹
t i ¹	t i ¹
ʃ u ²	ʃ u ²
t u ³	t u ²
g ɨ ²	g o̠ ³
ts a ³	ts a ³
a ¹	a ¹
l i ²	ˀl i ²
t ɛ̠ ¹	t a ³
kʰ a ²	kʰ a ²
a ²	a ²
x a̠ ³	x a̠ ³
z y ²	z y ²
ɣ a ¹	s e ¹
i ²	i ²
d i ¹	d i ¹
kʰ i ¹	kʰ i ¹
m ɛ̠ ¹	ˀm ɛ ¹
b u ³	b e ³
d i ²	d i ²
b o ¹	b e ³
kʰ i ¹	ɣ ɛ̠ ³
l a ²	l a ²
a ¹	a ¹
n e̠ ³	n i̠ ¹
ts e ³	ts i̠ ³
pʰ ɛ ¹	pʰ ɛ ¹
p i ¹	p e ¹
l o̠ ³	l u̠ ¹
tsʰ ɛ ³	tsʰ ɛ ³
b o ²	b o ²
d o̠ ³	tsʰ o̠ ¹
s ɛ ²	h a ¹
k y ³	k a ŋ ²
v e̠ ³	v e̠ ³
g o̠ ³	g j o̠ ¹
ɣ ɨ ³	ɣ y̠ ³
ˀv e̠ ¹	ˀv e̠ ¹
s e̠ ³	s e̠ ³
pʰ i̠ ³	pʰ i̠ ³
m u ³	m a ŋ ³
kʰ ɛ ²	kʰ j ɛ ²
kʰ ɛ ¹	kʰ a̠ ¹
t ɛ̠ ³	t a̠ ³
ʃ a ¹	ʃ a ¹
n i ¹	n e ¹
m a ³	m a ³
g u ¹	g o ŋ ¹
b i ³	b i ³
ɣ i ³	ɣ i̠ ³
ʃ y ¹	s y ¹
h a ³	h a ŋ ²
m ²	m u ²
n ɛ ¹	ɲ e ¹
m o ¹	m o ²
ʃ i ²	ʃ y ¹
a ¹	a ¹
ɣ i ³	ɣ ɨ ³
ts o̠ ³	ʒ i̠ ³
ɣ ɛ ¹	ɣ ɛ ¹
k a ¹	k u ¹
l a̠ ²	l a ²
tʃʰ ɨ̠ ³	tʃʰ i̠ ³
d u ¹	d u ¹
ʃ a ¹	ʃ a ¹
n a ¹	n a ¹
t o̠ ³	d o̠ ³
z a ²	z a ²
tsʰ u ¹	tsʰ u ¹
k a ŋ ¹	x a ŋ ¹
t i̠ ¹	t e ²
ʃ ɨ ²	ʃ ɨ ²
h e ¹	h e ¹
pʰ o ²	pʰ o ²
dz u ³	dz ɿ ³
t ɛ̠ ²	t e ²
dz i ³	dz i ³
z e̠ ³	z e̠ ³
tʃʰ u ¹	tʃʰ o̠ ¹
a ²	a ²
m a ³	m a ³³
z a ²	z a ²
n a ³	n a ŋ ³
f u ³	f u ³
ɲ i ²	ŋ i ²
k o̠ ²	k o̠ ¹
ˀm ɛ̠ ¹	ˀm ɛ̠ ¹
d i ¹	d i ¹
l i ¹	ˀl i ³
z e̠ ³	z e̠ ³
b e̠ ¹	b e̠ ¹
d y ³	d a ŋ ¹
kʰ o̠ ³	kʰ o̠ ³
z y ³	s i ³
ɣ a ¹	g a ¹
kʰ i ²	kʰ ɨ ²
ˀm i ³	ˀm j e̠ ¹
kʰ i ¹	kʰ i ¹
a ¹	a ¹
tʃʰ e ¹	kʰ j e ¹
ts i̠ ²	ts i ²
b a ³	b a ³
ʃ a ³	ʃ a̠ ³
k o ²	k j o ²
s ɛ ²	s ɛ ²
l a ²	l a ²
g u ³	g o ŋ ³
d e ²	dz i ²
ʒ i ¹	tʃʰ u ¹
a ¹	a ¹
tʃ ɛ̠ ³	tʃ ɛ̠ ³
ˀm a ²	m u ²
n e̠ ¹	n i̠ ¹
l a ¹	l a ¹
tʰ u ¹	tʰ u ¹
ʒ e̠ ¹	ɣ e̠ ¹
pʰ a ŋ ¹	pʰ j a ¹
l ɛ ¹	l ɛ ¹
m a̠ ²	m ɨ ²
t a ³	t a̠ ³
kʰ i ²	kʰ ɨ ²
ˀn i ¹	ˀn i ¹
a ²	a ²
