s r i ²	s r ɯ ²
ts i ²	ts i ²
n ŋ i ²	n j i ⁴
tsʰ i ¹	tsʰ j i ¹
j i ³	j i ³
p j a ⁴	p r a ⁴
d j ɯ ³	d r ɯ ³
n o ŋ ¹	n o ŋ ¹
d r ɯ ³	d r ɯ ³
χ æ n ¹	χ æ n ¹
s r r o ŋ ¹	s o ŋ ¹
d o ⁴	ɖʐ o ⁴
b r o ⁴	b j o ⁴
m ɯ ⁴	m ɯ ⁴
ts i ⁴	ɖʐ i ⁴
n ɛ ¹	n ɛ ¹
m ɯ ⁴	m ɔ ⁴
ʈ o ⁴	ts r o ⁴
t æ ⁴	t æ ŋ ⁴
sʰ ɛ ⁴	sʰ ɛ ⁴
m e ¹	m e ¹
j æ ³	b j o ²
tɕ e n ¹	tɕ e n ¹
q e ¹	q ɛ ¹
q w a ⁴	ɣ w a ⁴
ts j j e n ⁴	ts j e n ⁵
kʰ o ŋ ¹	qʰ o ŋ ¹
k o ⁴	k o ⁴
d e ⁴	d r ɛ ⁴
qʰ w æ ¹	qʰ w æ ¹
s ɔ ²	s ɔ ²
qʰ o ŋ ¹	qʰ o ŋ ¹
d r o ¹	ɖʐ u ŋ ¹
k o ŋ ¹	k o ŋ ¹
tɕ ɯ ¹	tɕ u ¹
q a ⁴	q æ ⁴
s e n ⁵	s e n ⁵
n j ɛ n ⁴	n j e ⁴
ɕ i ²	s j i ²
ts i ²	ts r i ²
tɕʰ j æ n ¹	tɕʰ æ ¹
n w e n ¹	ʁ w e n ¹
m æ ⁵	m æ ⁵
tsʰ j e n ¹	tsʰ j e n ¹
ts ɯ ²	dʑ ɯ ²
w j e n ¹	z e n ¹
