tʃ a̠ ³	tʃ ɛ̠ ³
b ɛ ¹	b ɛ ¹
n i̠ ¹	n i̠ ¹
g y ¹	g y ¹
m i ³	ˀm u ²
ʃ a ¹	ʃ a ³
p o̠ ¹	p o̠ ¹
pʰ i ²	pʰ i ²
m ɨ̠ ³	m ɨ̠ ³
ˀl a ³	ˀl u ³
l a ²	l a ²
ˀn y̠ ¹	ˀn y ¹
m a ³	m a ³
t o̠ ³	t o̠ ³
m o̠ ³	m o̠ ³
ˀm e̠ ¹	ˀm j e̠ ¹
ɣ a ŋ ¹	ɣ a ŋ ¹
pʰ u ¹	pʰ e̠ ¹
p a ŋ ³	p ɛ ³
ɣ i ¹	x i ¹
t i ³	t i̠ ³
m i ¹	m i ¹
a ¹	a ²
ˀl e ³	l e̠ ³
z a ²	z a ²
v u ¹	v u ¹
tsʰ e ²	tʃʰ e ¹
k e ²	k j ɛ ²
ˀx o ¹	ɣ o ¹
a ¹	a ¹
kʰ u ¹	x i ³
tʃʰ ɨ̠ ²	tʃʰ ɨ ²
dz i ³	dz i ³
k a ŋ ²	k a ŋ ²
p y ¹	p y̠ ¹
n a ¹	n a ¹
kʰ i ¹	kʰ i ¹
n a ¹	n a ¹
kʰ i ¹	kʰ i ¹
p e ³	p e̠ ³
ˀm e̠ ³	ˀm j e̠ ¹
kʰ o̠ ³	kʰ o̠ ³
ˀn i ³	ˀn i ³
ɲ j e ¹	ɲ e ¹
a ²	a ²
tʃʰ ɨ ²	tsʰ ɿ ²
l e̠ ³	l e̠ ³
t y ²	t y ²
x e ¹	x e ¹
t e ¹	d e ¹
d i ¹	d i ¹
k a ³	k a̠ ³
ˀm a ³	ˀm a ³
tsʰ e̠ ¹	tsʰ e̠ ³
z y ²	z y ²
g u ³	g o ŋ ³
d u ¹	tsʰ o̠ ¹
t o̠ ³	t o̠ ³
s y ¹	s y ¹
m e ³	m ɛ ³
kʰ u ³	kʰ a ŋ ²
ˀn i ³	n i̠ ³
d a ²	tʃʰ e ²
tsʰ o̠ ³	tsʰ o̠ ¹
z ɨ ²	s u ¹
a ¹	a ¹
tsʰ y ¹	tsʰ y ¹
g e ²	s y ²
n i ²	n u ²
m o ²	m o ²
d e̠ ¹	d e̠ ¹
m e ¹	m e ¹
ɣ i ¹	ɣ i ¹
l y ²	ˀl y ²
s i ²	s e ²
b i ¹	b e ³
n ɛ̠ ¹	n ɛ ³
s i̠ ¹	s i̠ ¹
a ¹	a ¹
tʃʰ e̠ ¹	tʃʰ e̠ ¹
kʰ i ¹	kʰ i ¹
dz a ²	dz a ²
f u ³	f u ³
k u ²	k j o ²
k e ³	k e̠ ³
g u ¹	g a ¹
h ɣ e̠ ³	h e̠ ³
ˀl y ³	ˀl y ³
tsʰ e ¹	tsʰ e ¹
ʃ i ³	ʃ i̠ ¹
p a̠ ³	p a̠ ³
s i̠ ¹	s i̠ ¹
t i ³	t a ³
m a ŋ ²	m u ²
m j a ³	m j a ³
a ²	a ²
n ²	n u ²
p ɛ̠ ¹	p ɛ̠ ¹
a ¹	a ¹
n i ²	n i ²
n y ¹	n y ¹
g ɨ ²	g u ²
l a ¹	l a ¹
ɣ e̠ ³	tʃ e̠ ³
p ɛ̠ ¹	p u ¹
dz i̠ ¹	dz ɿ ³
ˀn a ²	ˀn a ²
ɣ i ¹	ɣ i ¹
ɣ e ¹	h e ¹
ɣ a ²	ɣ a ŋ ²
ɣ a ³	b j y ¹
v ɛ ³	ˀv ɛ ²
kʰ ɨ ³	kʰ ɨ̠ ³
x i̠ ³	x ɨ̠ ³
z a ²	z a ²
s a ²	s a ²
m ɛ ²	m ɛ ²
kʰ a ²	kʰ a ²
s i̠ ¹	s i ²
d ɛ ²	d e ²
t ɣ a ŋ ³	d u ¹
ˀl a ³	ˀl a ŋ ³
b ɛ ¹	b ɛ ¹
b ɛ ²	b ɛ ²
a ²	a ²
